origin,sugar,metabolism,carrying capacity,vision,lifespan,pollution rate,age,fitness,x,y
320.0,4.282065807948969,1.0,16.0,4.0,43.0,0.0,19.0,4.282065807948969,22.0,44.0
359.0,0.9017492255096717,1.0,17.0,5.0,48.0,0.0,17.0,0.9017492255096717,42.0,33.0
155.0,8.772253318128174,1.0,17.0,5.0,44.0,0.0,42.0,8.772253318128174,1.0,23.0
246.0,1.7374708236559342,1.0,17.0,5.0,45.0,0.0,12.0,1.7374708236559342,43.0,32.0
129.0,10.194647784132314,1.0,17.0,5.0,37.0,0.0,13.0,10.194647784132314,48.0,30.0
320.0,12.351063782447845,1.0,17.0,5.0,43.0,0.0,7.0,12.351063782447845,23.0,25.0
320.0,5.673254005509923,1.0,19.0,5.0,43.0,0.0,25.0,5.673254005509923,44.0,13.0
126.0,9.818803769262937,1.0,17.0,5.0,32.0,0.0,21.0,9.818803769262937,20.0,45.0
359.0,3.003495537813855,1.0,19.0,5.0,48.0,0.0,9.0,3.003495537813855,49.0,29.0
359.0,13.693206072759168,1.0,19.0,5.0,48.0,0.0,11.0,13.693206072759168,29.0,18.0
320.0,1.115511574140549,1.0,19.0,5.0,43.0,0.0,19.0,1.115511574140549,44.0,31.0
87.0,2.580513407842277,1.0,17.0,5.0,45.0,0.0,7.0,2.580513407842277,48.0,22.0
320.0,6.002749087983771,1.0,19.0,5.0,43.0,0.0,1.0,6.002749087983771,26.0,41.0
311.0,2.310773600237116,1.0,17.0,5.0,28.0,0.0,14.0,2.310773600237116,46.0,26.0
87.0,8.026179867987105,1.0,19.0,5.0,45.0,0.0,7.0,8.026179867987105,30.0,39.0
87.0,3.094003097794091,1.0,17.0,5.0,45.0,0.0,37.0,3.094003097794091,33.0,39.0
359.0,8.166586162425249,1.0,17.0,5.0,48.0,0.0,16.0,8.166586162425249,48.0,7.0
119.0,13.009191475300664,1.0,19.0,5.0,48.0,0.0,10.0,13.009191475300664,43.0,14.0
87.0,9.154053895615514,1.0,19.0,5.0,45.0,0.0,10.0,9.154053895615514,47.0,9.0
359.0,11.06327107380659,1.0,17.0,4.0,48.0,0.0,13.0,11.06327107380659,5.0,42.0
126.0,7.046879216278686,1.0,18.0,5.0,32.0,0.0,4.0,7.046879216278686,4.0,4.0
359.0,11.001955332289906,1.0,16.0,5.0,48.0,0.0,2.0,11.001955332289906,18.0,6.0
