origin,sugar,metabolism,caring capacity,vision,lifespan,pollution rate,age,fitness,x,y
210.0,12.687282227176537,1.0,25.0,5.0,29.0,0.0,6.0,0.0,40.0,30.0
76.0,7.081419448211028,1.0,35.0,5.0,49.0,0.0,28.0,0.0,46.0,30.0
370.0,7.3603837791345015,1.0,52.0,5.0,41.0,0.0,16.0,0.0,48.0,30.0
370.0,19.600453651251634,1.0,28.0,5.0,41.0,0.0,4.0,0.0,41.0,30.0
370.0,0.8482626560103057,1.0,28.0,5.0,41.0,0.0,22.0,0.0,23.0,15.0
370.0,0.48626583571592286,1.0,28.0,5.0,41.0,0.0,8.0,0.0,46.0,48.0
355.0,9.295716823925591,1.0,21.0,5.0,21.0,0.0,20.0,0.0,45.0,30.0
153.0,2.0,1.0,28.0,3.0,38.0,0.0,3.0,0.0,14.0,11.0
76.0,14.177612141321031,1.0,35.0,5.0,49.0,0.0,8.0,0.0,8.0,25.0
25.0,2.819769793408902,1.0,28.0,4.0,49.0,0.0,28.0,0.0,9.0,23.0
198.0,14.169258671506357,1.0,27.0,5.0,37.0,0.0,24.0,0.0,32.0,1.0
370.0,0.7120209936907973,1.0,28.0,5.0,41.0,0.0,17.0,0.0,2.0,31.0
198.0,21.0,1.0,25.0,5.0,37.0,0.0,1.0,0.0,13.0,17.0
210.0,12.28093781882649,1.0,35.0,5.0,29.0,0.0,13.0,0.0,22.0,33.0
370.0,7.412435070673219,1.0,35.0,5.0,41.0,0.0,15.0,0.0,23.0,13.0
370.0,6.087382351244342,1.0,25.0,5.0,41.0,0.0,1.0,0.0,28.0,2.0
76.0,17.181171946013794,1.0,28.0,5.0,49.0,0.0,5.0,0.0,47.0,30.0
76.0,8.829746171294234,1.0,27.0,5.0,49.0,0.0,34.0,0.0,37.0,48.0
153.0,11.617978833593387,1.0,21.0,3.0,38.0,0.0,10.0,0.0,14.0,14.0
76.0,14.262808668534886,1.0,50.0,5.0,49.0,0.0,22.0,0.0,22.0,36.0
370.0,2.7762907342514938,1.0,79.0,5.0,41.0,0.0,15.0,0.0,8.0,24.0
370.0,17.04240073877373,1.0,35.0,5.0,41.0,0.0,3.0,0.0,23.0,3.0
370.0,5.5364491964497216,1.0,27.0,5.0,41.0,0.0,22.0,0.0,26.0,36.0
25.0,14.0,1.0,28.0,4.0,49.0,0.0,5.0,0.0,37.0,11.0
355.0,7.068824899113002,1.0,21.0,5.0,21.0,0.0,15.0,0.0,10.0,23.0
68.0,17.0,1.0,25.0,5.0,41.0,0.0,0.0,0.0,31.0,10.0
210.0,17.0,1.0,27.0,5.0,29.0,0.0,0.0,0.0,22.0,39.0
210.0,12.0,1.0,27.0,5.0,29.0,0.0,0.0,0.0,11.0,17.0
370.0,12.0,1.0,27.0,5.0,41.0,0.0,0.0,0.0,25.0,17.0
370.0,1.0,1.0,27.0,5.0,41.0,0.0,0.0,0.0,41.0,29.0
370.0,1.0,1.0,27.0,5.0,41.0,0.0,0.0,0.0,25.0,16.0
76.0,12.0,1.0,28.0,5.0,49.0,0.0,0.0,0.0,38.0,48.0
370.0,12.0,1.0,27.0,5.0,41.0,0.0,0.0,0.0,6.0,30.0
370.0,10.0,1.0,21.0,5.0,41.0,0.0,0.0,0.0,26.0,2.0
370.0,10.0,1.0,25.0,5.0,41.0,0.0,0.0,0.0,29.0,2.0
